Date,Open,High,Low,Close,Adj Close,Volume
2023-07-28,5.233512,5.268229,5.168625,5.216774,5.216774,96971888
2023-07-29,5.216359,5.255799,5.211046,5.252100,5.252100,69433200
2023-07-30,5.252013,5.270881,5.115447,5.186025,5.186025,100151395
2023-07-31,5.185904,5.252074,5.073564,5.108363,5.108363,107235439
2023-08-01,5.108517,5.198036,5.004908,5.198036,5.198036,126524088
2023-08-02,5.198443,5.213192,5.037197,5.057541,5.057541,105687249
2023-08-03,5.057383,5.067687,4.958855,4.979019,4.979019,108219090
2023-08-04,4.979124,5.035709,4.952365,4.988202,4.988202,91297132
2023-08-05,4.988304,4.988304,4.933332,4.969211,4.969211,66736994
2023-08-06,4.969323,5.034574,4.961686,4.998167,4.998167,74936169
2023-08-07,4.998312,5.033479,4.863506,4.960562,4.960562,98113615
2023-08-08,4.960387,5.091316,4.935423,5.060579,5.060579,93242098
2023-08-09,5.060264,5.098580,5.007319,5.054280,5.054280,193940099
2023-08-10,5.054598,5.060769,4.979276,4.999232,4.999232,80124805
2023-08-11,4.999112,5.011640,4.964208,5.003922,5.003922,73349263
2023-08-12,5.003892,5.039072,4.996596,5.034986,5.034986,63042563
2023-08-13,5.035067,5.039820,4.975061,4.986303,4.986303,75135778
2023-08-14,4.986372,5.042031,4.960404,4.988302,4.988302,86237754
2023-08-15,4.988226,4.990061,4.738361,4.812484,4.812484,99337249
2023-08-16,4.812510,4.832493,4.570713,4.666007,4.666007,114876395
2023-08-17,4.666011,4.797300,4.347028,4.437964,4.437964,182208314
2023-08-18,4.437980,4.549985,4.373006,4.511816,4.511816,134503745
2023-08-19,4.512007,4.549934,4.461949,4.517585,4.517585,78725804
2023-08-20,4.517655,4.530388,4.475181,4.519974,4.519974,79414171
2023-08-21,4.519768,4.533382,4.386839,4.433643,4.433643,100727327
2023-08-22,4.433529,4.446288,4.284953,4.420719,4.420719,106327520
2023-08-23,4.420626,4.529268,4.384713,4.488097,4.488097,101919596
2023-08-24,4.488243,4.513967,4.379234,4.421587,4.421587,89023517
